club,league,club_current_bill_EUR,replaces_player,position_group,sold_wage_EUR,sold_efficiency,incoming_player,incoming_team,incoming_league,incoming_age,incoming_wage_EUR,incoming_efficiency,annual_saving_EUR,four_year_saving_EUR
Union Berlin,Bundesliga,23680000,Lucas Tousart,Midfielders,2600000,0.8047,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,2390000,9560000
Union Berlin,Bundesliga,23680000,Tom Rothe,Defenders,950000,0.9852,César Tárrega,Valencia,La Liga,22,200000,-1.8577,750000,3000000
Union Berlin,Bundesliga,23680000,Tom Rothe,Midfielders,950000,0.9618,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,920000,3680000
Union Berlin,Bundesliga,23680000,Leopold Querfeld,Defenders,750000,0.5281,Iglesias,Getafe,La Liga,26,180000,-1.5674,570000,2280000
Heidenheim,Bundesliga,13610000,Paul Wanner,Midfielders,2000000,2.923,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,1790000,7160000
Heidenheim,Bundesliga,13610000,Benedikt Gimber,Defenders,1500000,1.0975,César Tárrega,Valencia,La Liga,22,200000,-1.8577,1300000,5200000
Heidenheim,Bundesliga,13610000,Mikkel Kaufmann,Forwards,720000,1.0055,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,580000,2320000
Heidenheim,Bundesliga,13610000,Frans Krätzig,Midfielders,600000,1.1697,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,570000,2280000
Heidenheim,Bundesliga,13610000,Julian Niehues,Midfielders,420000,0.5142,Þórir Jóhann Helgason,Lecce,Serie A,23,60000,-1.9322,360000,1440000
Parma,Serie A,24980000,Matteo Cancellieri,Midfielders,1480000,0.6566,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,1270000,5080000
Parma,Serie A,24980000,Mandela Keita,Midfielders,1390000,0.6055,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,1360000,5440000
Parma,Serie A,24980000,Zion Suzuki,Goalkeepers,930000,0.6606,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,740000,2960000
Parma,Serie A,24980000,Giovanni Leoni,Defenders,740000,1.37,César Tárrega,Valencia,La Liga,22,200000,-1.8577,540000,2160000
Parma,Serie A,24980000,Leandro Chichizola,Goalkeepers,740000,0.6106,Christos Mandas,Lazio,Serie A,22,130000,-1.6335,610000,2440000
Napoli,Serie A,69180000,Alessandro Buongiorno,Defenders,4630000,0.6221,César Tárrega,Valencia,La Liga,22,200000,-1.8577,4430000,17720000
Rennes,Ligue 1,21140000,Jota,Midfielders,2360000,0.636,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,2150000,8600000
Rennes,Ligue 1,21140000,Steve Mandanda,Goalkeepers,2280000,0.5611,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,2090000,8360000
Udinese,Serie A,26500000,Alexis Sánchez,Forwards,2780000,0.8144,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,2640000,10560000
Udinese,Serie A,26500000,Jurgen Ekkelenkamp,Midfielders,1300000,0.5613,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,1090000,4360000
Udinese,Serie A,26500000,Razvan Sava,Goalkeepers,650000,0.5034,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,460000,1840000
Werder Bremen,Bundesliga,21880000,Leonardo Bittencourt,Midfielders,2500000,0.6309,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,2290000,9160000
Werder Bremen,Bundesliga,21880000,Justin Njinmah,Forwards,1150000,0.5267,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,1010000,4040000
Werder Bremen,Bundesliga,21880000,Skelly Alvero,Midfielders,850000,0.838,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,820000,3280000
Valladolid,La Liga,16460000,Marcos André,Forwards,1500000,1.0297,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,1360000,5440000
Valladolid,La Liga,16460000,Raúl Moro,Midfielders,1040000,0.7956,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,830000,3320000
Valladolid,La Liga,16460000,Juanmi Latasa,Forwards,840000,0.6622,Pablo Durán,Celta Vigo,La Liga,23,140000,-1.9671,700000,2800000
Valladolid,La Liga,16460000,Karl Jakob Hein,Goalkeepers,620000,0.6207,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,430000,1720000
Valladolid,La Liga,16460000,Adam Aznou,Midfielders,280000,0.5744,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,250000,1000000
Holstein Kiel,Bundesliga,12310000,Tymoteusz Puchacz,Midfielders,1140000,1.0723,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,930000,3720000
Holstein Kiel,Bundesliga,12310000,Jann-Fiete Arp,Forwards,1000000,1.4402,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,860000,3440000
Holstein Kiel,Bundesliga,12310000,Magnus Knudsen,Midfielders,750000,0.8266,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,720000,2880000
Holstein Kiel,Bundesliga,12310000,Armin Gigovic,Midfielders,750000,0.8593,Þórir Jóhann Helgason,Lecce,Serie A,23,60000,-1.9322,690000,2760000
Empoli,Serie A,17710000,Junior Sambia,Midfielders,1920000,0.7391,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,1710000,6840000
Empoli,Serie A,17710000,Nicolas Haas,Midfielders,1670000,0.7134,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,1640000,6560000
Nantes,Ligue 1,22830000,Mostafa Mohamed,Forwards,1770000,0.5087,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,1630000,6520000
Nantes,Ligue 1,22830000,Alban Lafont,Goalkeepers,1500000,1.1465,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,1310000,5240000
Nantes,Ligue 1,22830000,Nathan Zeze,Defenders,450000,0.6162,Iglesias,Getafe,La Liga,26,180000,-1.5674,270000,1080000
Le Havre,Ligue 1,11630000,Daler Kuzyaev,Midfielders,1800000,1.1258,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,1590000,6360000
Le Havre,Ligue 1,11630000,Etienne Youte Kinkoue,Defenders,540000,0.5062,César Tárrega,Valencia,La Liga,22,200000,-1.8577,340000,1360000
Le Havre,Ligue 1,11630000,Timothee Pembele,Midfielders,460000,0.7541,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,430000,1720000
Le Havre,Ligue 1,11630000,Timothee Pembele,Defenders,460000,0.7863,Iglesias,Getafe,La Liga,26,180000,-1.5674,280000,1120000
Le Havre,Ligue 1,11630000,Arouna Sangante,Defenders,420000,0.5097,Carlos Dominguez,Celta Vigo,La Liga,23,150000,-1.4424,270000,1080000
Le Havre,Ligue 1,11630000,Ilyes Housni,Forwards,360000,1.1913,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,220000,880000
Cagliari,Serie A,23110000,Gianluca Lapadula,Forwards,2040000,0.6671,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,1900000,7600000
Cagliari,Serie A,23110000,Adam Obert,Defenders,740000,0.5126,César Tárrega,Valencia,La Liga,22,200000,-1.8577,540000,2160000
Cagliari,Serie A,23110000,Adam Obert,Midfielders,740000,0.598,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,530000,2120000
Saint-Étienne,Ligue 1,12410000,Yunis Abdelhamid,Defenders,1090000,0.6285,César Tárrega,Valencia,La Liga,22,200000,-1.8577,890000,3560000
Saint-Étienne,Ligue 1,12410000,Benjamin Bouchouari,Midfielders,750000,0.6116,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,540000,2160000
Saint-Étienne,Ligue 1,12410000,Aimen Moueffek,Midfielders,720000,0.5975,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,690000,2760000
Saint-Étienne,Ligue 1,12410000,Lucas Stassin,Forwards,720000,0.9207,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,580000,2320000
Lecce,Serie A,12430000,Ante Rebić,Forwards,1850000,1.0733,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,1710000,6840000
Lecce,Serie A,12430000,Patrick Dorgu,Defenders,650000,0.785,César Tárrega,Valencia,La Liga,22,200000,-1.8577,450000,1800000
Lecce,Serie A,12430000,Medon Berisha,Midfielders,370000,0.529,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,340000,1360000
Angers,Ligue 1,10810000,Zinedine Ferhat,Midfielders,1320000,0.663,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,1110000,4440000
Angers,Ligue 1,10810000,Bamba Dieng,Forwards,900000,0.6566,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,760000,3040000
Angers,Ligue 1,10810000,Jacques Ekomie,Defenders,360000,0.9994,Tom Louchet,Nice,Ligue 1,21,120000,-1.2909,240000,960000
Angers,Ligue 1,10810000,Jacques Ekomie,Midfielders,360000,0.771,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,330000,1320000
